time,aso_mean_bins_mm,AGP,DAN,DDM,DPO,FLV,GEM,GIN,GNL,GRM,HRS,KIB,LLE,LMS,MHP,PDS,REL,SLI,SMW,SPA,TNY,TUM,VLR,WHW
2019-04-17,1114.6809074119067,,978.1539999999999,817.88,862.33,,815.3399999999999,827.5319999999999,2387.6,1127.7599999999998,2032.762,659.892,2159.0,386.08,1395.984,1692.4019999999998,1042.162,1523.2379999999998,1046.48,1071.8799999999999,1311.402,763.7779999999999,701.04,1232.916
2019-05-03,853.7130801585159,,801.8779999999999,690.118,503.428,,708.66,441.96,2362.2000000000003,637.0319999999999,1824.7359999999999,314.452,2133.6,0.0,1274.0639999999999,1288.0339999999999,894.8419999999999,1244.8539999999998,822.9599999999999,883.92,1049.528,436.88,579.12,907.796
2019-06-13,443.20213269136997,,93.21799999999999,268.478,0.0,,526.7959999999999,0.0,1865.376,0.0,1064.514,0.0,1899.9199999999998,0.0,838.1999999999999,368.046,483.108,866.394,193.04,35.559999999999995,93.97999999999999,0.0,12.7,21.336
2019-07-05,112.08554005430881,,0.0,0.0,0.0,,35.05199999999999,0.0,265.176,0.0,96.26599999999999,0.0,1104.9,0.0,70.10399999999998,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-13,297.55378263283507,,329.184,435.60999999999996,86.868,,382.778,375.412,859.5360000000001,210.82,874.7759999999998,211.074,1010.9199999999998,22.86,615.6959999999999,664.7180000000001,497.078,662.686,421.64,434.34000000000003,494.03,154.432,261.62,277.876
2020-05-07,193.18465789766887,,148.58999999999997,230.378,0.0,,280.92400000000004,0.0,560.8319999999999,0.0,451.612,0.0,787.4,0.0,414.528,122.17399999999999,181.356,332.99399999999997,93.97999999999999,165.1,119.88799999999999,0.0,119.38,0.0
2020-05-22,129.05357104185148,,0.0,51.56199999999999,0.0,,190.754,6.096,295.656,0.0,188.976,0.0,668.02,0.0,201.16799999999998,16.002,20.574,79.756,0.0,0.0,2.54,0.0,0.0,2.54
2021-02-24,314.28008953088,,340.106,535.9399999999999,239.014,,,447.04,667.512,333.502,,276.86,741.68,203.2,411.734,,4.572,526.288,281.93999999999994,337.82,454.40599999999995,238.506,220.98,464.82
2021-04-29,184.20566344818346,,218.94799999999998,548.132,0.0,,,151.384,512.064,0.0,,40.894,906.7800000000001,0.0,564.6419999999999,,0.0,484.88599999999997,165.1,342.9,180.33999999999997,0.0,248.92000000000002,96.52
2022-02-04,350.08893156862507,,516.128,479.806,460.50199999999995,454.40599999999995,547.8779999999999,320.03999999999996,521.208,,,283.464,955.04,213.35999999999999,731.52,472.44000000000005,555.752,595.63,299.71999999999997,297.17999999999995,443.484,367.53799999999995,261.62,
2022-02-28,311.87948333684443,,528.828,488.69599999999997,440.69000000000005,412.242,562.6099999999999,356.87,527.304,,,171.95799999999997,970.2800000000001,213.35999999999999,743.712,532.384,537.972,631.19,314.96000000000004,304.79999999999995,460.248,258.57199999999995,264.16,
2022-04-05,257.5291773833191,,418.3379999999999,469.392,11.176,391.16,595.376,156.97199999999998,445.008,,,23.622,1021.08,0.0,652.2719999999999,345.69399999999996,399.796,550.6719999999999,236.22000000000003,332.73999999999995,339.59799999999996,44.196,254.0,
2022-04-29,247.76113537662934,,278.638,327.40599999999995,6.8580000000000005,412.242,596.1379999999999,0.0,438.91200000000003,,,26.924,1115.06,0.0,633.984,282.95599999999996,235.712,567.4359999999999,121.91999999999999,284.47999999999996,194.05599999999998,10.921999999999999,243.83999999999997,66.04
2022-05-18,133.87523546108622,,0.0,127.0,0.0,0.0,353.06,0.0,94.488,,,0.0,949.9599999999999,0.0,355.09200000000004,0.0,0.0,93.97999999999999,0.0,45.72,0.0,0.0,0.0,0.0
2023-01-24,829.1873279076942,,836.168,1002.5379999999999,903.9860000000001,1259.3319999999999,1147.5720000000001,800.354,1347.216,929.132,1494.282,628.65,1628.1399999999996,556.26,1490.472,,1139.1899999999998,1193.0379999999998,873.76,848.3599999999999,1044.4479999999999,766.064,701.04,1033.78
2023-03-02,1055.5809329160336,,1239.012,1267.4599999999998,1128.268,1424.1779999999999,,1077.7219999999998,1731.264,1323.34,1853.4379999999999,870.4580000000001,2115.8199999999997,810.26,1898.9040000000002,1665.732,1364.234,1514.602,1183.64,1102.36,1301.75,963.6759999999998,965.1999999999999,1424.9399999999998
2023-03-16,1421.6408532720532,,1495.806,1578.1019999999999,1428.496,1867.4079999999997,,1306.322,2185.416,1759.204,2331.9739999999997,1096.01,2717.8,993.14,2246.3759999999997,2133.6,1690.37,1961.896,1478.28,1369.06,1681.9879999999998,1189.736,1247.1399999999999,1772.9199999999998
2023-04-27,1550.7807476536532,,1384.3,1574.8,1503.6799999999998,2120.8999999999996,,1252.9819999999997,2310.3839999999996,1478.0259999999998,2311.4,,2979.4199999999996,675.64,,,,,1524.0,1440.18,1713.992,,1277.62,1750.0600000000002
2023-06-01,915.2833326045373,,1077.214,1150.62,1036.828,1494.536,,562.6099999999999,,205.73999999999998,1999.2339999999997,,2534.9199999999996,0.0,,,,,927.0999999999999,736.5999999999999,903.478,171.45,787.4,685.8
2023-06-26,464.1664279684719,,100.076,214.37599999999998,0.0,558.8,,0.0,,0.0,1058.4180000000001,,1968.5,0.0,,,,,241.29999999999998,0.0,55.88,0.0,193.04,0.0
2024-01-29,228.6996113024367,,300.736,331.978,,383.032,,58.166,364.236,172.974,397.002,101.6,558.8,45.72,329.438,326.644,,317.5,147.31999999999996,177.79999999999998,217.424,186.69,99.06,195.58
2024-02-27,392.8687262158327,,581.914,564.134,,720.598,,,836.6759999999998,509.77799999999996,718.5659999999999,419.862,955.04,185.42,675.64,626.1099999999999,,561.8480000000001,325.12,358.14,470.154,312.16599999999994,246.37999999999997,449.58
2024-04-02,579.2399032914744,,821.69,801.37,,1002.03,,,1315.974,507.23799999999994,1065.784,639.3180000000001,1480.8199999999997,271.78,1046.48,967.2319999999999,,847.09,497.84000000000003,599.4399999999999,724.154,429.25999999999993,408.94,795.02
2024-05-01,482.7110591973695,,485.90199999999993,708.406,,980.948,,,1167.384,0.0,794.512,114.3,1539.24,0.0,966.978,701.294,,672.8459999999999,284.47999999999996,495.29999999999995,596.1379999999999,49.53,363.21999999999997,561.34
